username,text,text_clean,hashtags,timestamp,url,replies,retweets,likes,scraped_at
Adefs97_,"Lha itu sumatera barat dari pilpres 2014 sampai 2024 yang menang anti rezim melulu.

Asbun lu!",lha itu sumatera barat dari pilpres 2014 sampai 2024 yang menang anti rezim melulu. asbun lu!,[],2025-11-24T16:49:52.000Z,https://x.com/Adefs97_/status/1992999115836604492,0,0,0,2026-01-17T04:04:17.383318
prtmydh_,"Lahh yg ikut 212 kan condong ikut krn HRS, dan gk selalu isu anies ahok ujug² ke pilpres 2024 pd ke anies semua lah, ada yg emg pecinta habaib yg ikut arus pilpres kemarin sesuai habibnya kya habib luthfi yg emg condong 02, blum lagi gus²an yg di jatim yg emg pengikutnya--","lahh yg ikut 212 kan condong ikut krn hrs, dan gk selalu isu anies ahok ujug² ke pilpres 2024 pd ke anies semua lah, ada yg emg pecinta habaib yg ikut arus pilpres kemarin sesuai habibnya kya habib luthfi yg emg condong 02, blum lagi gus²an yg di jatim yg emg pengikutnya--",[],2025-11-24T16:02:37.000Z,https://x.com/prtmydh_/status/1992987228453400662,0,0,0,2026-01-17T04:04:17.483395
mmarleyt,Trs knp bisa kalah di pilpres 2024??,trs knp bisa kalah di pilpres 2024??,[],2025-11-24T15:46:11.000Z,https://x.com/mmarleyt/status/1992983089753296902,0,0,0,2026-01-17T04:04:17.573453
TheRexBurner,"Imin itu lakunya cuma di elite NU. Akar rumput NU kalo pilpres jarang yang ""nurut"" kyai. Banyak yang milih sesuai keinginannya sendiri. Beberapa kyai dari ponpes2 gede waktu Pilpres 2024 kemarin dukung 01, tapi ga ngaruh sama hasil di lapangan yang berbanding terbalik.","imin itu lakunya cuma di elite nu. akar rumput nu kalo pilpres jarang yang ""nurut"" kyai. banyak yang milih sesuai keinginannya sendiri. beberapa kyai dari ponpes2 gede waktu pilpres 2024 kemarin dukung 01, tapi ga ngaruh sama hasil di lapangan yang berbanding terbalik.",[],2025-11-24T14:00:58.000Z,https://x.com/TheRexBurner/status/1992956612533969185,0,0,0,2026-01-17T04:04:18.058816
stilleto_still,"@grok
 sebutkan pasangan capres yang meraih suara terbanyak di sumatera barat pada pilpres 2024, serta jelaskan mengapa warga sumatera barat senang dengan film yang mengekspoitasi korban seperti diatas!","sebutkan pasangan capres yang meraih suara terbanyak di sumatera barat pada pilpres 2024, serta jelaskan mengapa warga sumatera barat senang dengan film yang mengekspoitasi korban seperti diatas!",[],2025-11-24T14:00:14.000Z,https://x.com/stilleto_still/status/1992956430014710062,0,0,0,2026-01-17T04:04:18.165819
cagubnyinyir2,"Barisan keok Pilpres 2024 habis kamus, getol goreng nyari2 kesalahan Mas Gibran,  mereka cari tenar hrs nyenggol Pak Jokowi & Mas Gibran.
@AndriDesvianto
 @KiEdySularno
 @heryrani
 @Karto8384910957
 @AnakTangsiAD
 @mas_veel
 @Jokowisme07","barisan keok pilpres 2024 habis kamus, getol goreng nyari2 kesalahan mas gibran, mereka cari tenar hrs nyenggol pak jokowi mas gibran.",[],2025-11-24T13:39:26.000Z,https://x.com/cagubnyinyir2/status/1992951193207980392,0,0,0,2026-01-17T04:04:18.285342
Jawirgnat,"""Jamie, tolong berikan hasil perhitungan suara pilpres 2024 untuk daerah Sumatera Barat""  
x.com/jujurkonfyus/s
…","""jamie, tolong berikan hasil perhitungan suara pilpres 2024 untuk daerah sumatera barat"" x.comjujurkonfyuss",[],2025-11-24T12:36:41.000Z,https://x.com/Jawirgnat/status/1992935403436023941,0,0,0,2026-01-17T04:04:32.358687
ganjarutkri,"Lah PDIP bukannya pemenang pileg 2024 ya? Utk Pilpres proses awalnya saja sudah salah, dari pengaturan umur calon presiden sampai keterlibatan presiden dalam kampanye pakai bansos. 
Semua sudah terbaca","lah pdip bukannya pemenang pileg 2024 ya? utk pilpres proses awalnya saja sudah salah, dari pengaturan umur calon presiden sampai keterlibatan presiden dalam kampanye pakai bansos. semua sudah terbaca",[],2025-11-24T07:17:09.000Z,https://x.com/ganjarutkri/status/1992854990030020688,0,0,0,2026-01-17T04:04:32.532976
ganjarutkri,"Pilpres 2024 jelas banyak proses yg salah, dari pencalonan Gibran yg menginjak2 marwah MK dengan putusan oleh ketua hakim yg adalah ipar dari Jokowi dan paman dari Gibran","pilpres 2024 jelas banyak proses yg salah, dari pencalonan gibran yg menginjak2 marwah mk dengan putusan oleh ketua hakim yg adalah ipar dari jokowi dan paman dari gibran",[],2025-11-24T07:14:31.000Z,https://x.com/ganjarutkri/status/1992854326885433529,0,0,0,2026-01-17T04:04:32.639430
legod0965,"Sejak gagalnya AHY diorbitkan bapaknya di Pilkada DKI 2017 dan pilpres 2024, batu sandungan AHY 2029 hanyalah Gibran.  

Sayangnya apapun dilakukan Demokrat untuk menjegal Jokowi dan Gibran hanya menghabiskan uang tanpa hasil. 

Pendukung Jokowi - Gibran makin solid.","sejak gagalnya ahy diorbitkan bapaknya di pilkada dki 2017 dan pilpres 2024, batu sandungan ahy 2029 hanyalah gibran. sayangnya apapun dilakukan demokrat untuk menjegal jokowi dan gibran hanya menghabiskan uang tanpa hasil. pendukung jokowi - gibran makin solid.",[],2025-11-24T04:38:39.000Z,https://x.com/legod0965/status/1992815099191677236,0,0,0,2026-01-17T04:04:32.792416
HenryS75761541,"Dimarahi kalau tidak digeser keluar, ya percuma. Keduanya berjasa menjaga upaya pemenangan Prabowo pada pilpres 2024 lalu. Utang budi memang sulit dilunasi sampai tuntas, walaupun dicicil pakai marah marah. ","dimarahi kalau tidak digeser keluar, ya percuma. keduanya berjasa menjaga upaya pemenangan prabowo pada pilpres 2024 lalu. utang budi memang sulit dilunasi sampai tuntas, walaupun dicicil pakai marah marah.",[],2025-11-24T04:17:06.000Z,https://x.com/HenryS75761541/status/1992809678494224401,0,0,0,2026-01-17T04:04:32.904995
NurKhol81980737,"kadang ...soal politik..
bisa mengobok2 ...NU...
ingat ...
KH marzuki mustamar..
yg diberhentikan dari PWNU 
jatim...
gara2 beda pilihan politik...
di pilpres 2024",kadang ...soal politik.. bisa mengobok2 ...nu... ingat ... kh marzuki mustamar.. yg diberhentikan dari pwnu jatim... gara2 beda pilihan politik... di pilpres 2024,[],2025-11-24T00:33:27.000Z,https://x.com/NurKhol81980737/status/1992753392599625982,0,0,0,2026-01-17T04:04:37.234379
meliksumanandar,"• Ahmad Ali (AA) = Pelatih Kepala Tim Nasional Pemenangan Anies-Cak Imin di Pilpres 2024.
• Pd wkt itu AA = Wakil Ketua Partai Nasdem
• AA = Anggota DPR dr Nasdem utk 2019-2024
• Skrg AA jadi Pentolan PSI
---
Simpulkan sendiri Mahluk Apa AA ini!",ahmad ali aa pelatih kepala tim nasional pemenangan anies-cak imin di pilpres 2024. pd wkt itu aa wakil ketua partai nasdem aa anggota dpr dr nasdem utk 2019-2024 skrg aa jadi pentolan psi --- simpulkan sendiri mahluk apa aa ini!,[],2025-11-23T22:56:05.000Z,https://x.com/meliksumanandar/status/1992728892113899841,0,0,0,2026-01-17T04:04:37.342346
gembelsuci,"Kalau bukan karena Pak Jokowi, pdip gak akan pernah menang pilpres calonnya..
Terbukti di pilpres 2024, dapat low bat 16%","kalau bukan karena pak jokowi, pdip gak akan pernah menang pilpres calonnya.. terbukti di pilpres 2024, dapat low bat 16",[],2025-11-23T13:54:09.000Z,https://x.com/gembelsuci/status/1992592508262728022,0,0,0,2026-01-17T04:04:37.449927
bangjago2075,"Gimanapun dipoles tetap zonk..kosong, tetap pelanggar UU pemilu, usia 40 dilanggar, dan ijazah diakal akali kpu pusat, tamat SD aslinya, tak ada bukti Gibran tamat SMa,kpu ketua kpu dan bawaslu pusat pilpres 2024 harus disidangkan 
@KPU_ID
 @bawaslu_RI","gimanapun dipoles tetap zonk..kosong, tetap pelanggar uu pemilu, usia 40 dilanggar, dan ijazah diakal akali kpu pusat, tamat sd aslinya, tak ada bukti gibran tamat sma,kpu ketua kpu dan bawaslu pusat pilpres 2024 harus disidangkan",[],2025-11-23T12:49:52.000Z,https://x.com/bangjago2075/status/1992576332128309757,0,0,0,2026-01-17T04:04:37.608581
ade206,"Ahhh Masa sih .
Ayo kita liat di polres 2029 ya 
Jokowi tanpa PDIP tidak akan jadi apa2
Padahal di pilpres 2024 
Sudah terbukti PDIP tanpa Jokowi 
Nyungsep tuh .",ahhh masa sih . ayo kita liat di polres 2029 ya jokowi tanpa pdip tidak akan jadi apa2 padahal di pilpres 2024 sudah terbukti pdip tanpa jokowi nyungsep tuh .,[],2025-11-23T10:55:35.000Z,https://x.com/ade206/status/1992547570976276736,0,0,0,2026-01-17T04:04:41.763752
nahdiyinbersatu,"Awal menjabat Sekjen PBNU, Gus Ipul masih jadi Wali Kota Pasuruan. Setelah PILPRES 2024, Gus Ipul jadi MENSOS. Dari awal, Gus Ipul Brengos emang gak serius sebagi Sekjen PBNU.","awal menjabat sekjen pbnu, gus ipul masih jadi wali kota pasuruan. setelah pilpres 2024, gus ipul jadi mensos. dari awal, gus ipul brengos emang gak serius sebagi sekjen pbnu.",[],2025-11-23T09:26:14.000Z,https://x.com/nahdiyinbersatu/status/1992525084171608572,0,0,0,2026-01-17T04:04:41.868027
tekarok007,"Hasil karya mereka kan,
bikin Bambang Pacul dipecat dari Jawa Tengah, Ganjar jadi 16% .
Bisa-bisanya pilpres 2024 main isu mayat pula.
Gak pernah belajar dari pengalaman. wmwk","hasil karya mereka kan, bikin bambang pacul dipecat dari jawa tengah, ganjar jadi 16 . bisa-bisanya pilpres 2024 main isu mayat pula. gak pernah belajar dari pengalaman. wmwk",[],2025-11-23T07:03:33.000Z,https://x.com/tekarok007/status/1992489176588320978,0,0,0,2026-01-17T04:04:41.976141
CarolineSarah5,"Cepat bgt ex Buzzer PDIP & 03 ini lupa apa yg dilakukan PBNU di pilpres pilkada 2023-24
Pdhl tokoh2 PBNU slama PEMILU PILPRES dr 2023-2024 sering diskreditkan Paslon dr PDI-P & mobilisasi kyai2 NU di basis2 suara yg besar tuk ke 02
Di Jatim basis PKB mrk pecah belah spy TDK ke 01",cepat bgt ex buzzer pdip 03 ini lupa apa yg dilakukan pbnu di pilpres pilkada 2023-24 pdhl tokoh2 pbnu slama pemilu pilpres dr 2023-2024 sering diskreditkan paslon dr pdi-p mobilisasi kyai2 nu di basis2 suara yg besar tuk ke 02 di jatim basis pkb mrk pecah belah spy tdk ke 01,[],2025-11-23T06:53:13.000Z,https://x.com/CarolineSarah5/status/1992486578598654379,0,0,0,2026-01-17T04:04:46.153159
EkoArdiyan55716,"Benar NARASI dari PSI setelah PDIP KALAH PILPRES dibuatlah SKENARIO lanjutan yaitu BERKHIANAT,dicap PENGHIANAT karena KALAH !!akhirnya sekarang keluarlah ASLInya PARTAI2 itu....PDIP,DEMOKRAT n NASDEM semuanya yg JAGOAN2nya KALAH diPILPRES 2024!tapi jangan lupa ALLAH MBOTEN SARE!","benar narasi dari psi setelah pdip kalah pilpres dibuatlah skenario lanjutan yaitu berkhianat,dicap penghianat karena kalah !!akhirnya sekarang keluarlah aslinya partai2 itu....pdip,demokrat n nasdem semuanya yg jagoan2nya kalah dipilpres 2024!tapi jangan lupa allah mboten sare!",[],2025-11-23T06:33:41.000Z,https://x.com/EkoArdiyan55716/status/1992481663847367109,0,0,0,2026-01-17T04:04:46.341817
el23280,TEPAT. Sejak sebelum acara debat pilpres 2024 Saya pun sudah pernah ngomong seperti itu juga.,tepat. sejak sebelum acara debat pilpres 2024 saya pun sudah pernah ngomong seperti itu juga.,[],2025-11-23T06:31:13.000Z,https://x.com/el23280/status/1992481042956267822,0,0,0,2026-01-17T04:04:46.447765
JustKaka04,"Jgn biasakan ""ber-andai2"" karna ""andai"" ijazah Jokowi paslu ia takkan pernah terpilih jadi walkot 2X, gub 1X, presiden 2X, bhkn sukses di pilpres & pilkada 2024 yg ia endorse.
Emangnye RATUSAN JUTA rakyat yg memilihnya lbh bodoh dari 3 EKOR tiroris onta gitoe, xixixi!","jgn biasakan ""ber-andai2"" karna ""andai"" ijazah jokowi paslu ia takkan pernah terpilih jadi walkot 2x, gub 1x, presiden 2x, bhkn sukses di pilpres pilkada 2024 yg ia endorse. emangnye ratusan juta rakyat yg memilihnya lbh bodoh dari 3 ekor tiroris onta gitoe, xixixi!",[],2025-11-23T04:48:03.000Z,https://x.com/JustKaka04/status/1992455079790850346,0,0,0,2026-01-17T04:04:50.311308
leonapwt,"mana berani prabowo pecat tyo.. bisa berkicau dia..  bongkar kecurangan pilpres 2024??

biar sama2 mampus",mana berani prabowo pecat tyo.. bisa berkicau dia.. bongkar kecurangan pilpres 2024?? biar sama2 mampus,[],2025-11-23T03:00:08.000Z,https://x.com/leonapwt/status/1992427918782496958,0,0,0,2026-01-17T04:04:50.416524
PutraMataSatu,"Kita harus kuliti 
@KPU_ID
 siapa pemenang sebenarnya? Audit KPU! Awam sudah tahu siapa pemenang sebenarnya Pilpres 2024.",kita harus kuliti siapa pemenang sebenarnya? audit kpu! awam sudah tahu siapa pemenang sebenarnya pilpres 2024.,[],2025-11-23T02:04:24.000Z,https://x.com/PutraMataSatu/status/1992413895349469542,0,0,0,2026-01-17T04:05:04.369528
Sean1724501685,"Percuma, hasil kasus ijazah palsu sudah di tentukan seperti pilpres 2024","percuma, hasil kasus ijazah palsu sudah di tentukan seperti pilpres 2024",[],2025-11-23T01:28:32.000Z,https://x.com/Sean1724501685/status/1992404868171231310,0,0,0,2026-01-17T04:05:04.475098
prasajournal,"Gue benci banget sama orang kaya apalagi yang terang-terangan classist begini. Gue tebak, anak-anak ini pasti live in their bubble dan tone deaf. Juga, kemungkinan sangat besar orang tuanya coblos Prabowo-Gibran saat pilpres 2024 ","gue benci banget sama orang kaya apalagi yang terang-terangan classist begini. gue tebak, anak-anak ini pasti live in their bubble dan tone deaf. juga, kemungkinan sangat besar orang tuanya coblos prabowo-gibran saat pilpres 2024",[],2025-11-22T21:44:06.000Z,https://x.com/prasajournal/status/1992348387765809565,0,0,0,2026-01-17T04:05:04.581118
LexWu_13,Sebut aja lgsg. Haji isam. Donatur kampanye wowo pilpres 2024 dan donatur wiwi 2019,sebut aja lgsg. haji isam. donatur kampanye wowo pilpres 2024 dan donatur wiwi 2019,[],2025-11-22T18:07:55.000Z,https://x.com/LexWu_13/status/1992293985021497739,0,0,0,2026-01-17T04:05:04.684415
CarolineSarah5,"EGP
Wong ormas ini ikut aktif membantu JKW melakukan politik dinasti & mendukung MK90
Slalu bela JKW
Artinya secara sadar ikut merusak reformasi
Dan pengurus2 PBNU jd timses Gibran di pilpres 2024
Aktif memobilisasi massa NU ke 02.
SETUJU SOEHARTO DIBERIKAN GELAR PAHLAWAN pulak !",egp wong ormas ini ikut aktif membantu jkw melakukan politik dinasti mendukung mk90 slalu bela jkw artinya secara sadar ikut merusak reformasi dan pengurus2 pbnu jd timses gibran di pilpres 2024 aktif memobilisasi massa nu ke 02. setuju soeharto diberikan gelar pahlawan pulak !,[],2025-11-22T16:40:47.000Z,https://x.com/CarolineSarah5/status/1992272055476289694,0,0,0,2026-01-17T04:05:04.838395
KedaiPenaCom,Ijazah yang digunakan Gibran saat mencalonkan diri sebagai cawapres pada Pilpres 2024 menjadi sorotan Roy Suryo dkk dengan menyiapkan buku berjudul Gibran’s Black Paper.,ijazah yang digunakan gibran saat mencalonkan diri sebagai cawapres pada pilpres 2024 menjadi sorotan roy suryo dkk dengan menyiapkan buku berjudul gibrans black paper.,[],2025-11-22T15:05:30.000Z,https://x.com/KedaiPenaCom/status/1992248076942413971,0,0,0,2026-01-17T04:05:04.945251
wahyu_djanti88,N rahasia kemenangan pilpres 2024 tentunya,n rahasia kemenangan pilpres 2024 tentunya,[],2025-11-22T14:23:15.000Z,https://x.com/wahyu_djanti88/status/1992237443555500294,0,0,0,2026-01-17T04:05:08.370168
yusufagro,"Hallo Pak 
@prabowo
... ditindak dong....kasat mata lho ini...!!!

Apa mereka ikut nyumbang di Pilpres 2024 kemarin???",hallo pak ... ditindak dong....kasat mata lho ini...!!! apa mereka ikut nyumbang di pilpres 2024 kemarin???,[],2025-11-22T10:17:17.000Z,https://x.com/yusufagro/status/1992175544222486945,0,0,0,2026-01-17T04:05:08.516019
porhaze,"Fyi,

Provinsi jawa tengah menjelang pilpres 2024 menerima bantuan sosial dalam bentuk natura berupa beras sebanyak 72.000 ton. Sekitar 3,5 juta penduduk jateng [entah berapa KK] menjadi target, di periode antara januari sampai juni. Diperkirakan setiap keluarga menerima 10kg","fyi, provinsi jawa tengah menjelang pilpres 2024 menerima bantuan sosial dalam bentuk natura berupa beras sebanyak 72.000 ton. sekitar 3,5 juta penduduk jateng entah berapa kk menjadi target, di periode antara januari sampai juni. diperkirakan setiap keluarga menerima 10kg",[],2025-12-01T23:48:07.000Z,https://x.com/porhaze/status/1995641089378975778,0,0,0,2026-01-17T04:05:36.318256
Opiniku95098012,"Sejak Pemilu/Pilpres 2024...Kwalitas Demokrasi Indonesia sudah Rusak...!!!!

Sumber: Telusur",sejak pemilupilpres 2024...kwalitas demokrasi indonesia sudah rusak...!!!! sumber: telusur,[],2025-12-01T23:38:57.000Z,https://x.com/Opiniku95098012/status/1995638784256606597,0,0,0,2026-01-17T04:05:36.411354
