username,text,text_clean,hashtags,timestamp,url,replies,retweets,likes,scraped_at
_rindianirisela,"lagi puasa hujan hujanan ketelen air hujan sedikit itu rejeki 
tapi tahun lalu ujan terus bahkan sampai banjir",lagi puasa hujan hujanan ketelen air hujan sedikit itu rejeki tapi tahun lalu ujan terus bahkan sampai banjir,[],2026-01-14T03:05:39.000Z,https://x.com/_rindianirisela/status/2011273479904247873,0,0,0,2026-01-14T10:06:13.424081
SikeuPolres123,Personel Polsek Batang Angkola bersama Brimob Yon C Sipirok melaksanakan Operasi Aman Nusa II Toba 2026 dengan membangun huntara bagi warga terdampak banjir bandang di Desa Tolang Julu sebagai wujud kehadiran dan kepedulian Polri di tengah masyarakat. #PolriHadir #AmanNusaII,personel polsek batang angkola bersama brimob yon c sipirok melaksanakan operasi aman nusa ii toba 2026 dengan membangun huntara bagi warga terdampak banjir bandang di desa tolang julu sebagai wujud kehadiran dan kepedulian polri di tengah masyarakat. #polrihadir #amannusaii,"['#PolriHadir', '#AmanNusaII']",2026-01-14T03:05:27.000Z,https://x.com/SikeuPolres123/status/2011273426066161920,0,0,0,2026-01-14T10:06:13.542440
blueluna_hong,Banjir,banjir,[],2026-01-14T03:04:23.000Z,https://x.com/blueluna_hong/status/2011273159950082265,0,0,0,2026-01-14T10:06:13.705020
andiniarrei,"WTB WTS APP PREM APK PREM APLIKASI PREMIUM
LENGKAP MURAH TRUSTED FULL GARANSI FAST RESPON

NETFLIX VIU SPOTIFY CAPCUT CHATGPT PRO 5.0 YOUTUBE PRIME DISNEY CANVA DLL

order dm/ 
wa.me/6285743307440
#zonauang wtb chatgpt pro 5.0 broken strings netflix jakarta hujan banjir",wtb wts app prem apk prem aplikasi premium lengkap murah trusted full garansi fast respon netflix viu spotify capcut chatgpt pro 5.0 youtube prime disney canva dll order dm wa.me6285743307440 #zonauang wtb chatgpt pro 5.0 broken strings netflix jakarta hujan banjir,['#zonauang'],2026-01-14T03:03:47.000Z,https://x.com/andiniarrei/status/2011273008883908729,0,0,0,2026-01-14T10:06:13.876171
antaranews,"BPBD Kabupaten Kudus, Jawa Tengah, menyebutkan ada 25 desa yang terdampak banjir menyusul curah hujan tinggi, sehingga mengakibatkan sejumlah rumah warga dan jalan tergenang banjir dengan ketinggian bervariasi.","bpbd kabupaten kudus, jawa tengah, menyebutkan ada 25 desa yang terdampak banjir menyusul curah hujan tinggi, sehingga mengakibatkan sejumlah rumah warga dan jalan tergenang banjir dengan ketinggian bervariasi.",[],2026-01-14T03:02:18.000Z,https://x.com/antaranews/status/2011272636362604848,0,0,0,2026-01-14T10:06:13.970819
repor2425,"Termul klo Bandara Kertajati gmn...?
IKN Banjir dan Jln Tolnya Amblas,","termul klo bandara kertajati gmn...? ikn banjir dan jln tolnya amblas,",[],2026-01-14T03:01:26.000Z,https://x.com/repor2425/status/2011272416568467784,0,0,0,2026-01-14T10:06:14.076996
polpagedangan,"Bhabinkamtibmas Ds. Karang Tengah Polsek Pagedangan *Aipda Lugas Gunawan*dan Babinsa  melaksanakan pemantauan wilayah pasca banjir, sementara sudah tidak ada genangan air dan debit air Cimanceuri masih kondusif.","bhabinkamtibmas ds. karang tengah polsek pagedangan aipda lugas gunawandan babinsa melaksanakan pemantauan wilayah pasca banjir, sementara sudah tidak ada genangan air dan debit air cimanceuri masih kondusif.",[],2026-01-14T03:01:03.000Z,https://x.com/polpagedangan/status/2011272318686024113,0,0,0,2026-01-14T10:06:14.183157
antaranews,"BNPB mempercepat pembangunan rumah hunian sementara dan hunian tetap bagi warga terdampak banjir dan tanah longsor di Aceh, Sumatera Utara, dan Sumatera Barat sebagai bagian dari pemulihan pascabencana.","bnpb mempercepat pembangunan rumah hunian sementara dan hunian tetap bagi warga terdampak banjir dan tanah longsor di aceh, sumatera utara, dan sumatera barat sebagai bagian dari pemulihan pascabencana.",[],2026-01-14T03:01:01.000Z,https://x.com/antaranews/status/2011272313397002441,0,0,0,2026-01-14T10:06:14.297612
_rindianirisela,"lagi puasa hujan hujanan ketelen air hujan sedikit itu rejeki 
tapi tahun lalu ujan terus bahkan sampai banjir",lagi puasa hujan hujanan ketelen air hujan sedikit itu rejeki tapi tahun lalu ujan terus bahkan sampai banjir,[],2026-01-14T03:05:39.000Z,https://x.com/_rindianirisela/status/2011273479904247873,0,0,0,2026-01-14T10:06:16.265554
SikeuPolres123,Personel Polsek Batang Angkola bersama Brimob Yon C Sipirok melaksanakan Operasi Aman Nusa II Toba 2026 dengan membangun huntara bagi warga terdampak banjir bandang di Desa Tolang Julu sebagai wujud kehadiran dan kepedulian Polri di tengah masyarakat. #PolriHadir #AmanNusaII,personel polsek batang angkola bersama brimob yon c sipirok melaksanakan operasi aman nusa ii toba 2026 dengan membangun huntara bagi warga terdampak banjir bandang di desa tolang julu sebagai wujud kehadiran dan kepedulian polri di tengah masyarakat. #polrihadir #amannusaii,"['#PolriHadir', '#AmanNusaII']",2026-01-14T03:05:27.000Z,https://x.com/SikeuPolres123/status/2011273426066161920,0,0,0,2026-01-14T10:06:16.383288
blueluna_hong,Banjir,banjir,[],2026-01-14T03:04:23.000Z,https://x.com/blueluna_hong/status/2011273159950082265,0,0,0,2026-01-14T10:06:16.504965
andiniarrei,"WTB WTS APP PREM APK PREM APLIKASI PREMIUM
LENGKAP MURAH TRUSTED FULL GARANSI FAST RESPON

NETFLIX VIU SPOTIFY CAPCUT CHATGPT PRO 5.0 YOUTUBE PRIME DISNEY CANVA DLL

order dm/ 
wa.me/6285743307440
#zonauang wtb chatgpt pro 5.0 broken strings netflix jakarta hujan banjir",wtb wts app prem apk prem aplikasi premium lengkap murah trusted full garansi fast respon netflix viu spotify capcut chatgpt pro 5.0 youtube prime disney canva dll order dm wa.me6285743307440 #zonauang wtb chatgpt pro 5.0 broken strings netflix jakarta hujan banjir,['#zonauang'],2026-01-14T03:03:47.000Z,https://x.com/andiniarrei/status/2011273008883908729,0,0,0,2026-01-14T10:06:16.609028
antaranews,"BPBD Kabupaten Kudus, Jawa Tengah, menyebutkan ada 25 desa yang terdampak banjir menyusul curah hujan tinggi, sehingga mengakibatkan sejumlah rumah warga dan jalan tergenang banjir dengan ketinggian bervariasi.","bpbd kabupaten kudus, jawa tengah, menyebutkan ada 25 desa yang terdampak banjir menyusul curah hujan tinggi, sehingga mengakibatkan sejumlah rumah warga dan jalan tergenang banjir dengan ketinggian bervariasi.",[],2026-01-14T03:02:18.000Z,https://x.com/antaranews/status/2011272636362604848,0,0,0,2026-01-14T10:06:16.711540
repor2425,"Termul klo Bandara Kertajati gmn...?
IKN Banjir dan Jln Tolnya Amblas,","termul klo bandara kertajati gmn...? ikn banjir dan jln tolnya amblas,",[],2026-01-14T03:01:26.000Z,https://x.com/repor2425/status/2011272416568467784,0,0,0,2026-01-14T10:06:16.812187
polpagedangan,"Bhabinkamtibmas Ds. Karang Tengah Polsek Pagedangan *Aipda Lugas Gunawan*dan Babinsa  melaksanakan pemantauan wilayah pasca banjir, sementara sudah tidak ada genangan air dan debit air Cimanceuri masih kondusif.","bhabinkamtibmas ds. karang tengah polsek pagedangan aipda lugas gunawandan babinsa melaksanakan pemantauan wilayah pasca banjir, sementara sudah tidak ada genangan air dan debit air cimanceuri masih kondusif.",[],2026-01-14T03:01:03.000Z,https://x.com/polpagedangan/status/2011272318686024113,0,0,0,2026-01-14T10:06:16.928679
antaranews,"BNPB mempercepat pembangunan rumah hunian sementara dan hunian tetap bagi warga terdampak banjir dan tanah longsor di Aceh, Sumatera Utara, dan Sumatera Barat sebagai bagian dari pemulihan pascabencana.","bnpb mempercepat pembangunan rumah hunian sementara dan hunian tetap bagi warga terdampak banjir dan tanah longsor di aceh, sumatera utara, dan sumatera barat sebagai bagian dari pemulihan pascabencana.",[],2026-01-14T03:01:01.000Z,https://x.com/antaranews/status/2011272313397002441,0,0,0,2026-01-14T10:06:17.037923
