username,text,text_clean,hashtags,timestamp,url,replies,retweets,likes,scraped_at
Pecel_Lele5678,"Polisi : Sulit menemukan siapa pemilik kayu yg menyebabkan banjir Sumatra akhir 2025.

Rakyat : Polisi Goblok, Percuma sekolah, Itu di BPN kan ada siapa pemilik lahan HPH.  Presiden, Mentri, Taipan  Pemegang HPH, Pengusaha Sawit. Emang gak niat ungkap, krn kelas Paus  semua.","polisi : sulit menemukan siapa pemilik kayu yg menyebabkan banjir sumatra akhir 2025. rakyat : polisi goblok, percuma sekolah, itu di bpn kan ada siapa pemilik lahan hph. presiden, mentri, taipan pemegang hph, pengusaha sawit. emang gak niat ungkap, krn kelas paus semua.",[],2026-01-13T11:54:53.000Z,https://x.com/Pecel_Lele5678/status/2011044275568738578,0,0,0,2026-01-14T02:10:51.999174
sisilxwax,"Bencana Sumatera 2025 mengingatkan kita bahwa pengelolaan DAS dan lahan harus berbasis ilmu. TPL yang menjaga kawasan lindung di dalam konsesinya menunjukkan komitmen nyata sebagai industri lestari. Bravo.
tribunnews.com/nasional/77767
…",bencana sumatera 2025 mengingatkan kita bahwa pengelolaan das dan lahan harus berbasis ilmu. tpl yang menjaga kawasan lindung di dalam konsesinya menunjukkan komitmen nyata sebagai industri lestari. bravo. tribunnews.com/nasional/77767 …,[],2026-01-12T13:53:06.000Z,https://x.com/sisilxwax/status/2010711637054149058,0,0,0,2026-01-14T02:10:52.166449
hwameliaa,"Bencana banjir Sumut 2025 mestinya jadi alarm buat semua pihak, dan TPL sudah di jalur yang tepat dengan tetap menjaga pengelolaan lahannya secara berkelanjutan.
tribunnews.com/nasional/77767
…","bencana banjir sumut 2025 mestinya jadi alarm buat semua pihak, dan tpl sudah di jalur yang tepat dengan tetap menjaga pengelolaan lahannya secara berkelanjutan. tribunnews.com/nasional/77767 …",[],2026-01-12T13:44:02.000Z,https://x.com/hwameliaa/status/2010709358259347754,0,0,0,2026-01-14T02:10:52.281488
dapaalfian,"Banjir Sumatera 2025 itu alarm keras buat semua. Tata kelola berbasis ilmiah wajib, tapi dukungan ke industri lestari juga penting. Konsistensi TPL dalam menjaga kawasan konservasi patut diapresiasi, bukan disudutkan.
tribunnews.com/nasional/77767
…","banjir sumatera 2025 itu alarm keras buat semua. tata kelola berbasis ilmiah wajib, tapi dukungan ke industri lestari juga penting. konsistensi tpl dalam menjaga kawasan konservasi patut diapresiasi, bukan disudutkan. tribunnews.com/nasional/77767 …",[],2026-01-12T13:43:57.000Z,https://x.com/dapaalfian/status/2010709336436376029,0,0,0,2026-01-14T02:10:52.392034
dyunavira,"Penguatan pengelolaan DAS itu mendesak, kata para pakar. Nah, komitmen industri juga gak kalah penting. TPL dengan prinsip keberlanjutan dan kawasan konservasinya layak jadi contoh industri lestari di tengah refleksi Banjir Sumut 2025.
tribunnews.com/nasional/77767
…","penguatan pengelolaan das itu mendesak, kata para pakar. nah, komitmen industri juga gak kalah penting. tpl dengan prinsip keberlanjutan dan kawasan konservasinya layak jadi contoh industri lestari di tengah refleksi banjir sumut 2025. tribunnews.com/nasional/77767 …",[],2026-01-12T13:39:24.000Z,https://x.com/dyunavira/status/2010708190271295784,0,0,0,2026-01-14T02:10:52.508009
Pecel_Lele5678,"Polisi : Sulit menemukan siapa pemilik kayu yg menyebabkan banjir Sumatra akhir 2025.

Rakyat : Polisi Goblok, Percuma sekolah, Itu di BPN kan ada siapa pemilik lahan HPH.  Presiden, Mentri, Taipan  Pemegang HPH, Pengusaha Sawit. Emang gak niat ungkap, krn kelas Paus  semua.","polisi : sulit menemukan siapa pemilik kayu yg menyebabkan banjir sumatra akhir 2025. rakyat : polisi goblok, percuma sekolah, itu di bpn kan ada siapa pemilik lahan hph. presiden, mentri, taipan pemegang hph, pengusaha sawit. emang gak niat ungkap, krn kelas paus semua.",[],2026-01-13T11:54:53.000Z,https://x.com/Pecel_Lele5678/status/2011044275568738578,0,0,0,2026-01-14T02:10:55.470714
sisilxwax,"Bencana Sumatera 2025 mengingatkan kita bahwa pengelolaan DAS dan lahan harus berbasis ilmu. TPL yang menjaga kawasan lindung di dalam konsesinya menunjukkan komitmen nyata sebagai industri lestari. Bravo.
tribunnews.com/nasional/77767
…",bencana sumatera 2025 mengingatkan kita bahwa pengelolaan das dan lahan harus berbasis ilmu. tpl yang menjaga kawasan lindung di dalam konsesinya menunjukkan komitmen nyata sebagai industri lestari. bravo. tribunnews.com/nasional/77767 …,[],2026-01-12T13:53:06.000Z,https://x.com/sisilxwax/status/2010711637054149058,0,0,0,2026-01-14T02:10:55.619330
hwameliaa,"Bencana banjir Sumut 2025 mestinya jadi alarm buat semua pihak, dan TPL sudah di jalur yang tepat dengan tetap menjaga pengelolaan lahannya secara berkelanjutan.
tribunnews.com/nasional/77767
…","bencana banjir sumut 2025 mestinya jadi alarm buat semua pihak, dan tpl sudah di jalur yang tepat dengan tetap menjaga pengelolaan lahannya secara berkelanjutan. tribunnews.com/nasional/77767 …",[],2026-01-12T13:44:02.000Z,https://x.com/hwameliaa/status/2010709358259347754,0,0,0,2026-01-14T02:10:55.726864
dapaalfian,"Banjir Sumatera 2025 itu alarm keras buat semua. Tata kelola berbasis ilmiah wajib, tapi dukungan ke industri lestari juga penting. Konsistensi TPL dalam menjaga kawasan konservasi patut diapresiasi, bukan disudutkan.
tribunnews.com/nasional/77767
…","banjir sumatera 2025 itu alarm keras buat semua. tata kelola berbasis ilmiah wajib, tapi dukungan ke industri lestari juga penting. konsistensi tpl dalam menjaga kawasan konservasi patut diapresiasi, bukan disudutkan. tribunnews.com/nasional/77767 …",[],2026-01-12T13:43:57.000Z,https://x.com/dapaalfian/status/2010709336436376029,0,0,0,2026-01-14T02:10:55.833538
dyunavira,"Penguatan pengelolaan DAS itu mendesak, kata para pakar. Nah, komitmen industri juga gak kalah penting. TPL dengan prinsip keberlanjutan dan kawasan konservasinya layak jadi contoh industri lestari di tengah refleksi Banjir Sumut 2025.
tribunnews.com/nasional/77767
…","penguatan pengelolaan das itu mendesak, kata para pakar. nah, komitmen industri juga gak kalah penting. tpl dengan prinsip keberlanjutan dan kawasan konservasinya layak jadi contoh industri lestari di tengah refleksi banjir sumut 2025. tribunnews.com/nasional/77767 …",[],2026-01-12T13:39:24.000Z,https://x.com/dyunavira/status/2010708190271295784,0,0,0,2026-01-14T02:10:55.939168
